-1;0.998629                      0.00137053
-0.99;1.00152                      0.0015181
-0.98;0.998497                      0.00150313
-0.97;1.00133                      0.00133276
-0.96;0.998953                      0.00104698
-0.95;1.00071                      0.00071325
-0.94;0.999587                      0.000413096
-0.93;1.00022                      0.000222332
-0.92;0.999811                      0.000189238
-0.91;1.00032                      0.000316622
-0.9;0.999446                      0.000554132
-0.89;1.00081                      0.000805641
-0.88;0.999047                      0.000952792
-0.87;1.00089                      0.000890641
-0.86;0.999434                      0.000566106
-0.85;1.00001                      6.55019e-06
-0.84;1.00067                      0.000673815
-0.83;0.998703                      0.00129691
-0.82;1.00167                      0.00167105
-0.81;0.998345                      0.00165549
-0.8;1.00122                      0.00121761
-0.79;0.999541                      0.000459346
-0.78;0.999597                      0.000403212
-0.77;1.00111                      0.00110683
-0.76;0.998565                      0.00143486
-0.75;1.0013                      0.0013023
-0.74;0.999206                      0.000794385
-0.73;1.00014                      0.000135564
-0.72;1.00041                      0.000405194
-0.71;0.999365                      0.000634957
-0.7;1.00053                      0.00052653
-0.69;0.999772                      0.000227932
-0.68;0.999978                      2.20561e-05
-0.67;1.00004                      3.55486e-05
-0.66;1.0002                      0.000201594
-0.65;0.999496                      0.000503566
-0.64;1.00059                      0.00058727
-0.63;0.99974                      0.000259865
-0.62;0.999582                      0.000417599
-0.61;1.00111                      0.00110724
-0.6;0.99864                      0.0013597
-0.59;1.0009                      0.000896629
-0.58;1.00016                      0.000159301
-0.57;0.998721                      0.00127917
-0.56;1.0018                      0.00180009
-0.55;0.998659                      0.00134118
-0.54;1.0001                      9.76691e-05
-0.53;1.00122                      0.00121733
-0.52;0.998201                      0.00179899
-0.51;1.00129                      0.00128957
-0.5;0.999952                      4.83513e-05
-0.49;0.998921                      0.00107917
-0.48;1.00136                      0.00136449
-0.47;0.99927                      0.000730299
-0.46;0.999782                      0.000217648
-0.45;1.00071                      0.000714156
-0.44;0.999512                      0.000487743
-0.43;0.999962                      3.81092e-05
-0.42;1.00021                      0.000206532
-0.41;1.00017                      0.000165759
-0.4;0.999446                      0.00055449
-0.39;1.00028                      0.000282911
-0.38;1.00064                      0.000637856
-0.37;0.998686                      0.00131371
-0.36;1.00081                      0.000806579
-0.35;1.00073                      0.000731341
-0.34;0.998089                      0.00191081
-0.33;1.00138                      0.00138403
-0.32;1.00061                      0.000608114
-0.31;0.997813                      0.00218698
-0.3;1.00167                      0.00166773
-0.29;1.00053                      0.00052756
-0.28;0.997869                      0.00213069
-0.27;1.00147                      0.00146647
-0.26;1.00061                      0.000611042
-0.25;0.998295                      0.00170476
-0.24;1.00077                      0.000766382
-0.23;1.0007                      0.000704901
-0.22;0.999202                      0.000797568
-0.21;0.999814                      0.000186331
-0.2;1.00038                      0.000378834
-0.19;1.00057                      0.00057036
-0.18;0.999244                      0.000755575
-0.17;0.999221                      0.000779454
-0.16;1.00182                      0.00181846
-0.15;0.999906                      9.41086e-05
-0.14;0.99757                      0.00242964
-0.13;1.0017                      0.00169559
-0.12;1.00184                      0.00184482
-0.11;0.997083                      0.00291718
-0.1;0.999565                      0.00043467
-0.09;1.00304                      0.00304477
-0.08;0.999206                      0.000793843
-0.07;0.997713                      0.00228677
-0.06;1.00109                      0.00108648
-0.05;1.00142                      0.00142156
-0.04;0.999619                      0.000381042
-0.03;0.998876                      0.00112418
-0.02;0.999123                      0.000876794
-0.01;1.00155                      0.00155457
0;1.00218                      0.00217675
0.01;0.997641                      0.00235925
0.02;0.996763                      0.00323675
0.03;1.0029                      0.00290426
0.04;1.00398                      0.00397538
0.05;0.997465                      0.00253534
0.06;0.995773                      0.00422749
0.07;1.00085                      0.000850983
0.08;1.00342                      0.00342062
0.09;1.00185                      0.00184932
0.1;0.999372                      0.000627642
0.11;0.996084                      0.00391564
0.12;0.995655                      0.00434536
0.13;1.00233                      0.00233196
0.14;1.00864                      0.00864221
0.15;1.00442                      0.00442061
0.16;0.994362                      0.00563758
0.17;0.990244                      0.00975631
0.18;0.993514                      0.00648555
0.19;0.999377                      0.000622535
0.2;1.00789                      0.00789426
0.21;1.01828                      0.0182836
0.22;1.02159                      0.0215926
0.23;1.01035                      0.0103496
0.24;0.988535                      0.0114648
0.25;0.963557                      0.0364428
0.26;0.934818                      0.0251822
0.27;0.898093                      0.0219066
0.28;0.856119                      0.0238809
0.29;0.816494                      0.0235061
0.3;0.780942                      0.0190576
0.31;0.743647                      0.016353
0.32;0.700751                      0.0192492
0.33;0.656295                      0.023705
0.34;0.616552                      0.0234478
0.35;0.58157                      0.0184296
0.36;0.545236                      0.0147641
0.37;0.502897                      0.0171031
0.38;0.456723                      0.023277
0.39;0.413146                      0.0268543
0.4;0.376156                      0.0238436
0.41;0.343629                      0.0163713
0.42;0.309466                      0.0105345
0.43;0.268656                      0.0113436
0.44;0.220759                      0.0192408
0.45;0.169783                      0.0302168
0.46;0.121559                      0.0384413
0.47;0.08089                      0.03911
0.48;0.0500539                      0.0299461
0.49;0.0288457                      0.0111543
0.5;0.0155124                      0.0155124
0.51;0.00780053                      0.00780053
0.52;0.00367519                      0.00367519
0.53;0.00162533                      0.00162533
0.54;0.000675826                      0.000675826
0.55;0.00026459                      0.00026459
0.56;9.76778e-05                      9.76778e-05
0.57;3.40096e-05                      3.40096e-05
0.58;1.12263e-05                      1.12263e-05
0.59;3.43977e-06                      3.43977e-06
0.6;1.0996e-06                      1.0996e-06
0.61;1.65687e-07                      1.65687e-07
0.62;2.70479e-07                      2.70479e-07
0.63;-2.96325e-07                      2.96325e-07
0.64;5.11424e-07                      5.11424e-07
0.65;-8.10687e-07                      8.10687e-07
0.66;1.29368e-06                      1.29368e-06
0.67;-2.05131e-06                      2.05131e-06
0.68;3.23746e-06                      3.23746e-06
0.69;-5.08397e-06                      5.08397e-06
0.7;7.94329e-06                      7.94329e-06
0.71;-1.23467e-05                      1.23467e-05
0.72;1.90903e-05                      1.90903e-05
0.73;-2.93586e-05                      2.93586e-05
0.74;4.49031e-05                      4.49031e-05
0.75;-6.82942e-05                      6.82942e-05
0.76;0.000103278                      0.000103278
0.77;-0.000155271                      0.000155271
0.78;0.00023205                      0.00023205
0.79;-0.000344684                      0.000344684
0.8;0.000508802                      0.000508802
0.81;-0.000746281                      0.000746281
